         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            73622885             11       47.36       59.20         520.96         651.20
            85196884              1        4.97        6.21           4.97           6.21
            94879508             56       41.03       51.29        2297.68        2872.24
            94619115             71       44.32       55.40        3146.72        3933.40
            30025328             58       64.34       80.42        3731.72        4664.36
            16857601              6       58.95       73.68         353.70         442.08
            89223901             42       14.03       17.53         589.26         736.26
            80456986             32       61.40       76.75        1964.80        2456.00
            94806487             35       60.70       75.88        2124.50        2655.80
            62183147             94       77.48       96.85        7283.12        9103.90
            50198730             73       40.32       50.40        2943.36        3679.20
            16500088             46       18.21       22.76         837.66        1046.96
            54532033             63       52.35       65.44        3298.05        4122.72
            40777096             96        0.47        0.58          45.12          55.68
            65026874             11        8.70       10.87          95.70         119.57
            91094452             76       13.74       17.18        1044.24        1305.68
            91432469             14       64.92       81.15         908.88        1136.10
            92982416             18       25.97       32.46         467.46         584.28
            63959494             17       42.13       52.66         716.21         895.22
            74148894             54       26.02       32.52        1405.08        1756.08
            52389130             71       54.41       68.02        3863.11        4829.42
            81783377             96       53.36       66.70        5122.56        6403.20
            65013756             44       18.40       23.01         809.60        1012.44
            55949376             75       78.90       98.63        5917.50        7397.25
            39714652             16       60.15       75.19         962.40        1203.04
            52795033              9       36.36       45.45         327.24         409.05
            81973081             34       25.73       32.17         874.82        1093.78
            18710740             71       64.96       81.20        4612.16        5765.20
            32426301             82        5.14        6.42         421.48         526.44
            96063944             68       34.98       43.73        2378.64        2973.64
            10744906             82       71.92       89.89        5897.44        7370.98
            67249101             20       40.87       51.09         817.40        1021.80
            61543898             14       66.58       83.22         932.12        1165.08
            88156489             18       62.07       77.59        1117.26        1396.62
            19152656             76       16.96       21.20        1288.96        1611.20
            83209750             19       64.73       80.91        1229.87        1537.29
            12864354             98       44.56       55.70        4366.88        5458.60
            40675835             43       16.68       20.86         717.24         896.98
            18646887             69       72.11       90.14        4975.59        6219.66
            90867595             90       21.16       26.45        1904.40        2380.50
            43399049             64        0.04        0.05           2.56           3.20
            28837556             65        6.82        8.52         443.30         553.80
            40779414             11        7.80        9.76          85.80         107.36
            22099072             31       70.88       88.61        2197.28        2746.91
            78391325              8       15.62       19.52         124.96         156.16
            11548472             79       69.55       86.94        5494.45        6868.26
            55578392             85       53.19       66.49        4521.15        5651.65
            94958546             34       78.21       97.76        2659.14        3323.84
            51322176             49       18.26       22.82         894.74        1118.18
            64335042             57       67.42       84.27        3842.94        4803.39
            78054513             65       30.94       38.68        2011.10        2514.20
            38457396             75        1.32        1.65          99.00         123.75
            57328543             83        3.41        4.26         283.03         353.58
            58377632             60       30.43       38.04        1825.80        2282.40
            96202222             79       71.57       89.47        5654.03        7068.13
            30971073             62       47.07       58.83        2918.34        3647.46
            66966293              7       16.53       20.66         115.71         144.62
            91606195             91       15.21       19.01        1384.11        1729.91
            24166376             16       44.43       55.53         710.88         888.48
            19896281             45       25.57       31.96        1150.65        1438.20
            32174822             94       55.33       69.16        5201.02        6501.04
            60227204             18       36.15       45.19         650.70         813.42
            27326748             17        6.43        8.04         109.31         136.68
            38830201              3       24.06       30.08          72.18          90.24
            27947510             50       37.66       47.08        1883.00        2354.00
            26170065             66       51.67       64.59        3410.22        4262.94
            53616523             39        9.58       11.98         373.62         467.22
            36199641             41       75.90       94.87        3111.90        3889.67
            34106619             15       43.11       53.88         646.65         808.20
            25390274             17        6.09        7.62         103.53         129.54
            79403329             47       46.04       57.55        2163.88        2704.85
            53019004             89       35.12       43.90        3125.68        3907.10
            81882075             29       52.04       65.05        1509.16        1886.45
            87910363             25       37.55       46.94         938.75        1173.50
            24112449             58       23.53       29.41        1364.74        1705.78
            52982883             23       37.06       46.32         852.38        1065.36
            41115608              5       20.55       25.69         102.75         128.45
            15443551             43       70.07       87.59        3013.01        3766.37
            92729561             62       12.34       15.43         765.08         956.66
            16822801             86        0.50        0.62          43.00          53.32
            99809971             71       78.26       97.82        5556.46        6945.22
            67525889             54       11.11       13.89         599.94         750.06
            96579422             43       23.76       29.70        1021.68        1277.10
            46023708             80       77.09       96.36        6167.20        7708.80
            16712122             40       58.47       73.08        2338.80        2923.20
            61288098             34        0.87        1.09          29.58          37.06
            67058624             77       72.02       90.03        5545.54        6932.31
            84948352             15       59.94       74.92         899.10        1123.80
            51259615             98       64.31       80.38        6302.38        7877.24
            66860667             32       20.16       25.20         645.12         806.40
            31758865             23       73.18       91.48        1683.14        2104.04
            19954036             25        4.01        5.01         100.25         125.25
            94484839             74       12.58       15.72         930.92        1163.28
            17103219              1       70.25       87.81          70.25          87.81
            72647631             37       19.91       24.89         736.67         920.93
            42227032             81       36.14       45.18        2927.34        3659.58
            94103087             52       51.70       64.62        2688.40        3360.24
            34083786             44       14.00       17.50         616.00         770.00
            98050136             38       76.47       95.59        2905.86        3632.42
            62390898             61       50.83       63.53        3100.63        3875.33
            65278448             83       25.19       31.49        2090.77        2613.67
            90999083             57        2.03        2.53         115.71         144.21
            44038862             80       77.72       97.16        6217.60        7772.80
            98269296             63       45.08       56.35        2840.04        3550.05
            74822346             83       64.81       81.02        5379.23        6724.66
            85130294             80        8.76       10.95         700.80         876.00
            59617890              4       28.93       36.16         115.72         144.64
            77480633             67       62.94       78.68        4216.98        5271.56
            24037629             93       26.46       33.07        2460.78        3075.51
            89447777             43       66.07       82.59        2841.01        3551.37
            53864958             41        4.73        5.92         193.93         242.72
            41311787             65        9.69       12.11         629.85         787.15
            45126779             71       72.82       91.02        5170.22        6462.42
            29745225             61       49.04       61.30        2991.44        3739.30
            30192545             51       12.17       15.21         620.67         775.71
            40730948              4       28.00       35.01         112.00         140.04
            17500797             63       12.74       15.93         802.62        1003.59
            30786904             36       10.75       13.44         387.00         483.84
            39432408             33       32.75       40.93        1080.75        1350.69
            11335934             61       72.14       90.18        4400.54        5500.98
            92401857             30       42.85       53.56        1285.50        1606.80
            51064730             49       66.98       83.73        3282.02        4102.77
            70925775             25       69.62       87.02        1740.50        2175.50
            80054733             73       78.86       98.58        5756.78        7196.34
            61283154             84       78.31       97.89        6578.04        8222.76
            33192411             26       36.74       45.93         955.24        1194.18
            84746711             64       14.23       17.79         910.72        1138.56
            68114564             35       13.22       16.52         462.70         578.20
            77208073             36       22.54       28.17         811.44        1014.12
            41946424             36       69.59       86.99        2505.24        3131.64
            76857113             37       60.87       76.08        2252.19        2814.96
            28475323             65       25.40       31.75        1651.00        2063.75
            36614916             72       49.35       61.68        3553.20        4440.96
            43411209              9       62.07       77.59         558.63         698.31
            62272436             37       39.07       48.83        1445.59        1806.71
            25599194             48       12.13       15.17         582.24         728.16
            25261807             52       75.51       94.39        3926.52        4908.28
            52572980             21       47.46       59.33         996.66        1245.93
            85807243             12       45.15       56.44         541.80         677.28
            20452922             15        4.39        5.49          65.85          82.35
            17690436             18       18.80       23.50         338.40         423.00
            90098234             51       64.10       80.12        3269.10        4086.12
            44487128             80       67.09       83.86        5367.20        6708.80
            82331466             82       75.47       94.33        6188.54        7735.06
            33237451             32       27.88       34.86         892.16        1115.52
            51891496             37       34.30       42.88        1269.10        1586.56
            75174252             95       12.78       15.98        1214.10        1518.10
            72298881             70       49.71       62.14        3479.70        4349.80
            73095147             15       13.22       16.52         198.30         247.80
            80706681             79       10.29       12.86         812.91        1015.94
            13009429             62       78.91       98.64        4892.42        6115.68
            71584793             22       50.63       63.28        1113.86        1392.16
            13845182             64       73.20       91.50        4684.80        5856.00
            11778081             48       29.94       37.42        1437.12        1796.16
            95089800             33       14.56       18.20         480.48         600.60
            74944176             10       61.17       76.46         611.70         764.60
            41180911             82       32.20       40.26        2640.40        3301.32
            20389448             35       10.07       12.58         352.45         440.30
            46332601             42       68.13       85.16        2861.46        3576.72
            94770822             66       70.74       88.43        4668.84        5836.38
            61088598             64       49.94       62.42        3196.16        3994.88
            33327935              4       18.90       23.63          75.60          94.52
            65374534             40       60.35       75.43        2414.00        3017.20
            36347679              6       36.14       45.18         216.84         271.08
            13264856             84       38.63       48.29        3244.92        4056.36
            53002665             87       78.79       98.49        6854.73        8568.63
            35660551             11       15.37       19.22         169.07         211.42
            20338346             67       27.08       33.85        1814.36        2267.95
            31742438             32       44.39       55.49        1420.48        1775.68
            41939036             37        2.27        2.84          83.99         105.08
            80498724             47       40.94       51.18        1924.18        2405.46
            46583807             57       15.43       19.29         879.51        1099.53
            34685606             86       72.56       90.70        6240.16        7800.20
            27865169             62       49.16       61.45        3047.92        3809.90
            33352074             64       40.58       50.73        2597.12        3246.72
            24411194             10       58.91       73.64         589.10         736.40
            65592483             12       61.17       76.46         734.04         917.52
            89874425             82       78.58       98.22        6443.56        8054.04
            96971594             52        0.31        0.39          16.12          20.28
            65797156             61       51.86       64.82        3163.46        3954.02
            43040471             91       48.88       61.10        4448.08        5560.10
            27335969             45       61.54       76.93        2769.30        3461.85
            88659853             83       39.92       49.90        3313.36        4141.70
            74155724             58       12.50       15.63         725.00         906.54
            54346966             15       17.41       21.76         261.15         326.40
            51918084             83       40.73       50.91        3380.59        4225.53
            80300177             42       45.15       56.44        1896.30        2370.48
            19739775             38       53.32       66.65        2026.16        2532.70
            84876967             66       71.27       89.09        4703.82        5879.94
            86391862              5       33.43       41.79         167.15         208.95
            49514542             36       22.41       28.01         806.76        1008.36
            80676127             40       67.95       84.93        2718.00        3397.20
            31927395             69       15.35       19.19        1059.15        1324.11
            67843493             95       23.07       28.84        2191.65        2739.80
            87182520             73       78.63       98.29        5739.99        7175.17
            40703854             21       77.50       96.87        1627.50        2034.27
            69545688             81       39.89       49.86        3231.09        4038.66
            80654864             50       28.72       35.91        1436.00        1795.50
            53127718             29       15.44       19.31         447.76         559.99
            61090434             23       25.40       31.75         584.20         730.25
            44979360             79        7.23        9.03         571.17         713.37
            97902521             47       41.70       52.13        1959.90        2450.11
            78279814             17       30.21       37.76         513.57         641.92
            37345527             14       17.40       21.75         243.60         304.50
            54266353             16       72.15       90.19        1154.40        1443.04
            37984905             55       36.80       46.01        2024.00        2530.55
            82734223             35       77.01       96.27        2695.35        3369.45
            81015913             17       34.24       42.81         582.08         727.77
            63597057              5       44.58       55.73         222.90         278.65
            67379636              3       20.79       25.99          62.37          77.97
            39127009              5       27.48       34.35         137.40         171.75
            49368405             52       50.76       63.45        2639.52        3299.40
            40847626             22       57.58       71.97        1266.76        1583.34
            17714976              1       35.11       43.89          35.11          43.89
            24406622             93       71.35       89.19        6635.55        8294.67
            42366727              6       33.75       42.18         202.50         253.08
            62048376              3       65.02       81.27         195.06         243.81
            61189988             86       74.82       93.53        6434.52        8043.58
            62072923             73        4.60        5.75         335.80         419.75
            64240033             55       35.74       44.67        1965.70        2456.85
            10252175             28       46.58       58.22        1304.24        1630.16
            95562206             79       62.75       78.44        4957.25        6196.76
            72647123             64       62.82       78.53        4020.48        5025.92
            81327558             78       62.88       78.60        4904.64        6130.80
            49632133             48       12.80       16.00         614.40         768.00
            87802462             20       22.45       28.07         449.00         561.40
            20044274             15       36.28       45.35         544.20         680.25
            22657882             13       15.85       19.82         206.05         257.66
            37188962             32       49.72       62.15        1591.04        1988.80
            41558643             28       70.01       87.51        1960.28        2450.28
            81397951             50       64.78       80.98        3239.00        4049.00
            90326676             34        9.04       11.30         307.36         384.20
            72035484             22       51.76       64.71        1138.72        1423.62
            29408882             99       37.02       46.27        3664.98        4580.73
            78347278             43        5.73        7.16         246.39         307.88
            62499933             53       21.95       27.43        1163.35        1453.79
            99347987             98       57.73       72.17        5657.54        7072.66
            14040585             23       59.88       74.85        1377.24        1721.55
            76386390             31       24.21       30.26         750.51         938.06
            92631013             66        5.40        6.75         356.40         445.50
            36233984             64       74.53       93.16        4769.92        5962.24
            95859972             31       77.42       96.77        2400.02        2999.87
            96886603             23       38.27       47.83         880.21        1100.09
            52726017             28       48.13       60.16        1347.64        1684.48
            52276068              6       45.12       56.40         270.72         338.40
            93782949             68       48.27       60.34        3282.36        4103.12
            79382133             52       68.53       85.67        3563.56        4454.84
            23470097             92        8.31       10.38         764.52         954.96
            58852223             53       31.33       39.17        1660.49        2076.01
            23422990             97       69.05       86.31        6697.85        8372.07
            42893435             70       12.44       15.55         870.80        1088.50
            17158344              2       72.79       90.99         145.58         181.98
            93210531             88       52.34       65.43        4605.92        5757.84
            65134141             43       44.32       55.40        1905.76        2382.20
            50484427             97       30.25       37.81        2934.25        3667.57
            83335808             30       48.05       60.06        1441.50        1801.80
            57157122             40       75.63       94.53        3025.20        3781.20
            17014339              3        7.81        9.76          23.43          29.28
            11149588             58       59.08       73.85        3426.64        4283.30
            54099901             83       65.35       81.69        5424.05        6780.27
            25380781             49       61.16       76.44        2996.84        3745.56
            74844380             27        0.76        0.95          20.52          25.65
            46329928             39       18.28       22.85         712.92         891.15
            62718830             30       45.75       57.19        1372.50        1715.70
            52621626             87       33.26       41.58        2893.62        3617.46
            43037732             22       30.53       38.16         671.66         839.52
            28256883             78        6.03        7.54         470.34         588.12
            47920883             23       49.54       61.93        1139.42        1424.39
            91543176             49       68.99       86.24        3380.51        4225.76
            70002433             17        9.92       12.40         168.64         210.80
            51148782             73       64.12       80.15        4680.76        5850.95
            55180440              7       13.59       16.98          95.13         118.86
            57171621             56       60.25       75.32        3374.00        4217.92
            24599795             84        4.26        5.32         357.84         446.88
            44466781             13       65.42       81.78         850.46        1063.14
            40712049             53       60.66       75.82        3214.98        4018.46
            41957959             89       40.31       50.38        3587.59        4483.82
            83784476             31       61.45       76.82        1904.95        2381.42
            90154009             68       28.64       35.80        1947.52        2434.40
            31185214             14       52.90       66.13         740.60         925.82
            53763699             99       79.58       99.48        7878.42        9848.52
            31885366             62       45.44       56.80        2817.28        3521.60
            68922180             42       67.11       83.89        2818.62        3523.38
            91068685              5       26.13       32.66         130.65         163.30
            36039902             18       43.93       54.92         790.74         988.56
            68274861             89       18.95       23.69        1686.55        2108.41
            56593217             65       68.46       85.58        4449.90        5562.70
            60882502             20       19.60       24.50         392.00         490.00
            68396647             70       43.48       54.35        3043.60        3804.50
            95294290             15       57.76       72.21         866.40        1083.15
            95334949              4       49.82       62.27         199.28         249.08
            57582468             40       56.52       70.65        2260.80        2826.00
            59721646              6       67.09       83.86         402.54         503.16
            74006922             39       63.80       79.75        2488.20        3110.25
            65245380             46       58.63       73.28        2696.98        3370.88
            57389356             13       49.10       61.37         638.30         797.81
            62341538             52       68.70       85.88        3572.40        4465.76
            21615938             91       76.36       95.45        6948.76        8685.95
            15073020             54       72.18       90.22        3897.72        4871.88
            94393997             34       15.23       19.04         517.82         647.36
            17351366             14        8.07       10.08         112.98         141.12
            67893995             25       23.50       29.38         587.50         734.50
            43777808              9       57.44       71.80         516.96         646.20
            64988998             28       27.01       33.77         756.28         945.56
            28826389             75       55.10       68.87        4132.50        5165.25
            49656711             18        1.93        2.41          34.74          43.38
            60861155             51       42.64       53.30        2174.64        2718.30
            38532266             77       10.02       12.52         771.54         964.04
            94873181             40       23.17       28.96         926.80        1158.40
            71360409             75       13.52       16.90        1014.00        1267.50
            90692650             44       27.49       34.36        1209.56        1511.84
            82529785             37       22.74       28.43         841.38        1051.91
            48258403             78       79.97       99.96        6237.66        7796.88
            34493630             98       46.05       57.56        4512.90        5640.88
            34538102             66       53.42       66.77        3525.72        4406.82
            53870974             84       59.21       74.02        4973.64        6217.68
            74445298             83       60.57       75.71        5027.31        6283.93
            93261169             28        4.40        5.49         123.20         153.72
            39732271             94       37.20       46.50        3496.80        4371.00
            94169254             68       25.18       31.47        1712.24        2139.96
            99298426             17       31.72       39.64         539.24         673.88
            40673055             62       14.92       18.65         925.04        1156.30
            96029994             48       63.12       78.90        3029.76        3787.20
            19585214              6       72.02       90.02         432.12         540.12
            91912937              5       51.69       64.61         258.45         323.05
            77678419             10       26.62       33.28         266.20         332.80
            96391212             31       75.43       94.29        2338.33        2922.99
            98578914              3       77.93       97.41         233.79         292.23
            65000878             30        8.09       10.11         242.70         303.30
            26139257             77       27.11       33.88        2087.47        2608.76
            76962944             16        3.64        4.55          58.24          72.80
            27634286             82       42.67       53.33        3498.94        4373.06
            16520249             19       11.44       14.31         217.36         271.89
            77275168             26       16.85       21.06         438.10         547.56
            74961926             78       72.38       90.48        5645.64        7057.44
            18814354             83       52.34       65.43        4344.22        5430.69
            39405447             97       24.81       31.01        2406.57        3007.97
            57952584              3       59.32       74.16         177.96         222.48
            30957290             13       47.99       59.99         623.87         779.87
            97890248             95       52.85       66.06        5020.75        6275.70
            54846740             87       36.30       45.37        3158.10        3947.19
            78894535              5       46.46       58.08         232.30         290.40
            76152923              5       79.90       99.88         399.50         499.40
            58868776             16       55.60       69.50         889.60        1112.00
            18601250             59       53.76       67.20        3171.84        3964.80
            82627224             57       21.53       26.92        1227.21        1534.44
            20658625             17       48.61       60.76         826.37        1032.92
            92306271             28       13.19       16.49         369.32         461.72
            10230469              5       62.65       78.31         313.25         391.55
            67381113              2       19.27       24.09          38.54          48.18
            53351134             14       69.07       86.33         966.98        1208.62
            18772653             88       64.92       81.15        5712.96        7141.20
            22399775             25       57.02       71.27        1425.50        1781.75
            37319163             27       79.98       99.97        2159.46        2699.19
            78997044             94       20.42       25.52        1919.48        2398.88
            47202962             28       17.59       21.99         492.52         615.72
            40497995             51       10.55       13.19         538.05         672.69
            46695820             78       61.20       76.50        4773.60        5967.00
            39390358             42       67.95       84.94        2853.90        3567.48
            47632932             49       77.54       96.93        3799.46        4749.57
            26080072              5       69.80       87.25         349.00         436.25
            44840950             56       31.90       39.88        1786.40        2233.28
            49488947             56       34.68       43.35        1942.08        2427.60
            66769891             44       66.81       83.51        2939.64        3674.44
            59556571             37       60.75       75.94        2247.75        2809.78
            43990531              7       41.91       52.39         293.37         366.73
            27253822              5       43.46       54.32         217.30         271.60
            21596704             15       12.42       15.53         186.30         232.95
            34298381             32       40.31       50.39        1289.92        1612.48
            81843277              6       63.30       79.13         379.80         474.78
            28357104             38       55.31       69.13        2101.78        2626.94
            85228026             78        8.10       10.13         631.80         790.14
            40353066             16        9.62       12.02         153.92         192.32
            48880823             76       50.98       63.73        3874.48        4843.48
            18788954             80       59.07       73.84        4725.60        5907.20
            51009640             42       64.30       80.38        2700.60        3375.96
            16901750             88       75.06       93.83        6605.28        8257.04
            96269563             98       69.98       87.48        6858.04        8573.04
            82878050             50        1.42        1.78          71.00          89.00
            61405606              8       17.74       22.17         141.92         177.36
            42464291             24       75.02       93.78        1800.48        2250.72
            70537306             90       37.35       46.69        3361.50        4202.10
            76599899             40       36.81       46.02        1472.40        1840.80
            11235739             38       75.95       94.94        2886.10        3607.72
            95631118              6       40.37       50.47         242.22         302.82
            16333012             39       15.64       19.55         609.96         762.45
            11240610             61       25.72       32.15        1568.92        1961.15
            65098043             71        1.26        1.57          89.46         111.47
            83786684             71       61.76       77.19        4384.96        5480.49
            44699286             14       12.23       15.29         171.22         214.06
            74019082              7       18.43       23.03         129.01         161.21
            40283960              2       54.18       67.73         108.36         135.46
            16126574             22       72.62       90.78        1597.64        1997.16
            29592293             47       14.96       18.70         703.12         878.90
            40653783             38       44.33       55.42        1684.54        2105.96
            62518599             11       26.17       32.71         287.87         359.81
            47210640             42        1.88        2.35          78.96          98.70
            60806013             50       69.53       86.91        3476.50        4345.50
            53958659             34       52.34       65.43        1779.56        2224.62
            50127980             38       33.04       41.30        1255.52        1569.40
            26824499             32       41.28       51.61        1320.96        1651.52
            98112846             64       73.08       91.36        4677.12        5847.04
            65764225             20       62.70       78.37        1254.00        1567.40
            26326032             16        7.68        9.60         122.88         153.60
            44069887              5       71.94       89.92         359.70         449.60
            76895707             82       31.26       39.07        2563.32        3203.74
            13264157              9       72.50       90.62         652.50         815.58
            89556297             49       31.98       39.97        1567.02        1958.53
            47430598             84       70.35       87.94        5909.40        7386.96
            67515252             52       11.01       13.77         572.52         716.04
            81735657             34       14.58       18.22         495.72         619.48
            83824732              4        6.04        7.54          24.16          30.16
            63262644             17       19.35       24.19         328.95         411.23
            81660044             84       33.45       41.82        2809.80        3512.88
            78676816             41       53.85       67.31        2207.85        2759.71
            76842552             46       63.65       79.56        2927.90        3659.76
            68921283              9       33.31       41.63         299.79         374.67
            80547153              3       15.29       19.11          45.87          57.33
            13918972             13        6.35        7.94          82.55         103.22
            66213772              4       21.08       26.35          84.32         105.40
            78910577             45       77.27       96.59        3477.15        4346.55
            28863712             80       33.10       41.37        2648.00        3309.60
            90626032              4       22.13       27.66          88.52         110.64
            56728459             13       20.78       25.98         270.14         337.74
            48240693             80       21.11       26.38        1688.80        2110.40
            30814439             16       42.86       53.57         685.76         857.12
            24863426             51        5.90        7.37         300.90         375.87
            99816088              9        9.17       11.46          82.53         103.14
            15777518             23       15.67       19.58         360.41         450.34
            17207324             37       53.67       67.09        1985.79        2482.33
            88783686             65       28.47       35.59        1850.55        2313.35
            12136191             59       72.25       90.31        4262.75        5328.29
            55340239             56        8.97       11.21         502.32         627.76
            55026340             95       38.14       47.67        3623.30        4528.65
            41399676             89       56.02       70.02        4985.78        6231.78
            90517702             22       60.39       75.49        1328.58        1660.78
            67252376             90       52.28       65.35        4705.20        5881.50
            14498886             73       52.06       65.08        3800.38        4750.84
            53926929             42       58.26       72.83        2446.92        3058.86
            68434233             17       23.12       28.90         393.04         491.30
            48520946             42       34.05       42.56        1430.10        1787.52
            19542525              8       38.88       48.60         311.04         388.80
            85187566             42       54.15       67.69        2274.30        2842.98
            68999534             83       63.02       78.78        5230.66        6538.74
            51117536             40       13.84       17.30         553.60         692.00
            38092227             54       63.64       79.56        3436.56        4296.24
            40200401             73       58.70       73.38        4285.10        5356.74
            73678933             45       31.41       39.27        1413.45        1767.15
            42833112             52       28.72       35.91        1493.44        1867.32
            33194459             79       26.72       33.41        2110.88        2639.39
            85389950             65       72.28       90.35        4698.20        5872.75
            55080620             63       45.54       56.93        2869.02        3586.59
            96570097             46       30.82       38.53        1417.72        1772.38
            92751781             39       21.54       26.93         840.06        1050.27
            19063322             38        0.76        0.95          28.88          36.10
            44323474             28       61.97       77.46        1735.16        2168.88
            71202663              6       15.49       19.36          92.94         116.16
            24932049             60       42.08       52.60        2524.80        3156.00
            94859146             70       60.91       76.14        4263.70        5329.80
            50624207              3        3.04        3.80           9.12          11.40
            98452597             21       28.86       36.08         606.06         757.68
            11831322             76       79.07       98.84        6009.32        7511.84
            55369470             55       45.39       56.73        2496.45        3120.15
            95412779             44       53.50       66.87        2354.00        2942.28
            45010960             48       44.21       55.27        2122.08        2652.96
            60230902             60        7.71        9.64         462.60         578.40
            91665761             79       10.24       12.81         808.96        1011.99
            39164226             94       25.07       31.34        2356.58        2945.96
            60172413              3       59.47       74.34         178.41         223.02
            34051416             69       13.98       17.47         964.62        1205.43
            29624167             33       64.36       80.45        2123.88        2654.85
            56407404             27       48.38       60.48        1306.26        1632.96
            86055954             93        2.24        2.80         208.32         260.40
            10412097              1       30.16       37.70          30.16          37.70
            34488036             28       43.75       54.69        1225.00        1531.32
            80094978             33       38.43       48.04        1268.19        1585.32
            29383167             32       56.50       70.62        1808.00        2259.84
            79910510             18       55.56       69.46        1000.08        1250.28
            53255032             22       22.58       28.22         496.76         620.84
            96020459             60       33.97       42.46        2038.20        2547.60
            15436753             41       39.59       49.49        1623.19        2029.09
            77598980             72       44.16       55.20        3179.52        3974.40
            88068153             37       41.00       51.25        1517.00        1896.25
            85079322             57        5.70        7.12         324.90         405.84
            51214802             20       19.39       24.24         387.80         484.80
            88059217             54       49.01       61.26        2646.54        3308.04
            59599739             82       75.31       94.14        6175.42        7719.48
            35304308             21       31.97       39.96         671.37         839.16
            76821690             72       77.84       97.30        5604.48        7005.60
            72933802             84        8.70       10.88         730.80         913.92
            30901483             92       30.13       37.66        2771.96        3464.72
            98263779             59       19.48       24.35        1149.32        1436.65
            95889915             70       76.54       95.68        5357.80        6697.60
            73487483             53        6.37        7.97         337.61         422.41
            16689749             83       20.56       25.70        1706.48        2133.10
            75727112             73       51.66       64.57        3771.18        4713.61
            21399748             46       26.64       33.30        1225.44        1531.80
            35063583             79       12.76       15.95        1008.04        1260.05
            51409128             77       53.08       66.36        4087.16        5109.72
            94752477              7       36.82       46.03         257.74         322.21
